"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
299,32,"BRA","Brazil",5,"Bahia",378,"Irecê",605,"Angical","","","Distrito","District"
300,32,"BRA","Brazil",5,"Bahia",378,"Irecê",606,"Conquista","","","Distrito","District"
301,32,"BRA","Brazil",5,"Bahia",378,"Irecê",607,"Irecê","","","Distrito","District"
302,32,"BRA","Brazil",5,"Bahia",378,"Irecê",608,"Itapicuru","","","Distrito","District"
303,32,"BRA","Brazil",5,"Bahia",379,"Itabela",609,"Itabela","","","Distrito","District"
304,32,"BRA","Brazil",5,"Bahia",380,"Itaberaba",610,"Itaberaba","","","Distrito","District"
305,32,"BRA","Brazil",5,"Bahia",381,"Itabuna",611,"Itabuna","","","Distrito","District"
306,32,"BRA","Brazil",5,"Bahia",382,"Itacaré",612,"Itacaré","","","Distrito","District"
307,32,"BRA","Brazil",5,"Bahia",382,"Itacaré",613,"Taboquinhas","","","Distrito","District"
308,32,"BRA","Brazil",5,"Bahia",383,"Itaeté",614,"Itaeté","","","Distrito","District"
309,32,"BRA","Brazil",5,"Bahia",384,"Itagi",615,"Itagi","","","Distrito","District"
310,32,"BRA","Brazil",5,"Bahia",385,"Itagibá",616,"Itagibá","","","Distrito","District"
311,32,"BRA","Brazil",5,"Bahia",385,"Itagibá",617,"Japomirim","","","Distrito","District"
312,32,"BRA","Brazil",5,"Bahia",386,"Itagimirim",618,"Itagimirim","","","Distrito","District"
313,32,"BRA","Brazil",5,"Bahia",387,"Itaguaçu da Bahia",619,"Itaguaçu da Bahia","","","Distrito","District"
314,32,"BRA","Brazil",5,"Bahia",388,"Itaju do Colônia",620,"Itaju do Colônia","","","Distrito","District"
315,32,"BRA","Brazil",5,"Bahia",388,"Itaju do Colônia",621,"Palmira","","","Distrito","District"
316,32,"BRA","Brazil",5,"Bahia",389,"Itajuípe",622,"Bandeira do Almada","","","Distrito","District"
317,32,"BRA","Brazil",5,"Bahia",389,"Itajuípe",623,"Itajuípe","","","Distrito","District"
318,32,"BRA","Brazil",5,"Bahia",390,"Itamaraju",624,"Itamaraju","","","Distrito","District"
319,32,"BRA","Brazil",5,"Bahia",391,"Itamari",625,"Itamari","","","Distrito","District"
320,32,"BRA","Brazil",5,"Bahia",392,"Itambé",626,"Catolezinho","","","Distrito","District"
321,32,"BRA","Brazil",5,"Bahia",392,"Itambé",627,"Itambé","","","Distrito","District"
322,32,"BRA","Brazil",5,"Bahia",537,"Ruy Barbosa",915,"Ruy Barbosa","","","Distrito","District"
323,32,"BRA","Brazil",5,"Bahia",537,"Ruy Barbosa",916,"Tapiraipe","","","Distrito","District"
324,32,"BRA","Brazil",5,"Bahia",538,"Salinas da Margarida",917,"Salinas da Margarida","","","Distrito","District"
325,32,"BRA","Brazil",5,"Bahia",539,"Salvador",918,"Amaralina","","","Distrito","District"
326,32,"BRA","Brazil",5,"Bahia",539,"Salvador",919,"Brotas","","","Distrito","District"
327,32,"BRA","Brazil",5,"Bahia",539,"Salvador",920,"Itapoá","","","Distrito","District"
328,32,"BRA","Brazil",5,"Bahia",539,"Salvador",921,"Mare","","","Distrito","District"
329,32,"BRA","Brazil",5,"Bahia",539,"Salvador",922,"Mares","","","Distrito","District"
330,32,"BRA","Brazil",5,"Bahia",539,"Salvador",923,"Paripe","","","Distrito","District"
331,32,"BRA","Brazil",5,"Bahia",539,"Salvador",924,"Penha","","","Distrito","District"
332,32,"BRA","Brazil",5,"Bahia",539,"Salvador",925,"Periperi","","","Distrito","District"
333,32,"BRA","Brazil",5,"Bahia",539,"Salvador",926,"Pilar","","","Distrito","District"
334,32,"BRA","Brazil",5,"Bahia",539,"Salvador",927,"Piraja","","","Distrito","District"
335,32,"BRA","Brazil",5,"Bahia",539,"Salvador",928,"Plataforma","","","Distrito","District"
336,32,"BRA","Brazil",5,"Bahia",539,"Salvador",929,"Salvador","","","Distrito","District"
337,32,"BRA","Brazil",5,"Bahia",539,"Salvador",930,"Santo Antônio","","","Distrito","District"
338,32,"BRA","Brazil",5,"Bahia",539,"Salvador",931,"São Caetano","","","Distrito","District"
339,32,"BRA","Brazil",5,"Bahia",539,"Salvador",932,"São Cristóvão","","","Distrito","District"
340,32,"BRA","Brazil",5,"Bahia",539,"Salvador",933,"Valeria","","","Distrito","District"
341,32,"BRA","Brazil",5,"Bahia",539,"Salvador",934,"Vitoria","","","Distrito","District"
342,32,"BRA","Brazil",5,"Bahia",540,"Santa Bárbara",935,"Santa Bárbara","","","Distrito","District"
343,32,"BRA","Brazil",5,"Bahia",541,"Santa Brígida",936,"Santa Brígida","","","Distrito","District"
344,32,"BRA","Brazil",5,"Bahia",542,"Santa Cruz Cabrália",937,"Santa Cruz Cabrália","","","Distrito","District"
345,32,"BRA","Brazil",5,"Bahia",543,"Santa Cruz da Vitória",938,"Santa Cruz da Vitória","","","Distrito","District"
346,32,"BRA","Brazil",5,"Bahia",544,"Santa Inês",939,"Santa Inês","","","Distrito","District"
347,32,"BRA","Brazil",5,"Bahia",545,"Santa Luzia",940,"Santa Luzia","","","Distrito","District"
348,32,"BRA","Brazil",5,"Bahia",546,"Santa Maria da Vitória",941,"Acudina","","","Distrito","District"
349,32,"BRA","Brazil",5,"Bahia",546,"Santa Maria da Vitória",942,"Inhaumas","","","Distrito","District"
350,32,"BRA","Brazil",5,"Bahia",546,"Santa Maria da Vitória",943,"Santa Maria da Vitória","","","Distrito","District"
351,32,"BRA","Brazil",5,"Bahia",547,"Santa Rita de Cássia",944,"Malhada Grande","","","Distrito","District"
352,32,"BRA","Brazil",5,"Bahia",547,"Santa Rita de Cássia",945,"Santa Rita de Cássia","","","Distrito","District"
353,32,"BRA","Brazil",5,"Bahia",548,"Santa Teresinha",946,"Santa Teresinha","","","Distrito","District"
354,32,"BRA","Brazil",5,"Bahia",549,"Santaluz",947,"Pereira","","","Distrito","District"
355,32,"BRA","Brazil",5,"Bahia",549,"Santaluz",948,"Santaluz","","","Distrito","District"
356,32,"BRA","Brazil",5,"Bahia",550,"Santana",949,"Porto Novo","","","Distrito","District"
357,32,"BRA","Brazil",5,"Bahia",550,"Santana",950,"Santana","","","Distrito","District"
358,32,"BRA","Brazil",5,"Bahia",551,"Santanópolis",951,"Boa Espera","","","Distrito","District"
359,32,"BRA","Brazil",5,"Bahia",551,"Santanópolis",952,"Santanópolis","","","Distrito","District"
360,32,"BRA","Brazil",5,"Bahia",552,"Santo Amaro",953,"Acupe","","","Distrito","District"
361,32,"BRA","Brazil",5,"Bahia",552,"Santo Amaro",954,"Campinhos","","","Distrito","District"
362,32,"BRA","Brazil",5,"Bahia",552,"Santo Amaro",955,"Santo Amaro","","","Distrito","District"
363,32,"BRA","Brazil",5,"Bahia",553,"Santo Antônio de Jesus",956,"Santo Antônio de Jesus","","","Distrito","District"
364,32,"BRA","Brazil",5,"Bahia",554,"Santo Estêvão",957,"Santo Estêvão","","","Distrito","District"
365,32,"BRA","Brazil",5,"Bahia",555,"São Desidério",958,"São Desidério","","","Distrito","District"
366,32,"BRA","Brazil",5,"Bahia",616,"Vitória da Conquista",1090,"São Sebastião","","","Distrito","District"
